index,G1,G2,G3,G4,G5,G6,G7
2015-07-09,13.05,12.166666666666666,14.225,14.266666666666666,11.425,17.03333333333333,14.180000000000001
2015-07-10,12.4,12.299999999999999,14.950000000000001,14.933333333333335,11.225000000000001,16.566666666666666,14.14
2015-07-11,13.3,14.533333333333333,15.125,17.26666666666667,13.950000000000001,17.733333333333334,15.959999999999999
2015-07-12,15.85,14.866666666666665,18.1,18.533333333333335,13.325,17.8,15.779999999999998
2015-07-13,14.25,18.766666666666666,16.775,19.5,17.775,19.233333333333334,19.86
2015-07-14,10.2,13.366666666666665,11.25,12.4,14.3,18.333333333333332,20.0
2015-07-15,7.65,9.166666666666668,9.5,10.133333333333333,12.774999999999999,15.666666666666666,17.22
2015-07-16,9.4,11.533333333333333,10.850000000000001,10.9,15.174999999999999,16.73333333333333,17.58
2015-07-17,12.899999999999999,12.699999999999998,13.5,12.733333333333334,13.375,18.0,16.4
2015-07-18,13.2,13.4,14.875,15.266666666666666,13.6,16.900000000000002,17.78
2015-07-19,15.5,17.5,17.35,20.133333333333336,16.5,18.6,18.240000000000002
2015-07-20,12.65,14.133333333333333,13.325,14.166666666666666,14.400000000000002,18.166666666666668,18.839999999999996
2015-07-21,10.2,8.533333333333333,10.825,8.766666666666667,8.675,15.866666666666665,15.2
2015-07-22,9.05,9.033333333333333,10.8,10.833333333333334,8.325,14.5,13.920000000000002
2015-07-23,11.4,11.133333333333333,12.399999999999999,11.833333333333334,10.7,15.533333333333333,14.76
2015-07-24,14.100000000000001,11.6,13.55,12.366666666666667,10.875,16.8,15.86
2015-07-25,14.65,11.766666666666666,14.975,13.333333333333334,10.625,17.26666666666667,14.779999999999998
2015-07-26,13.65,11.699999999999998,14.700000000000001,13.899999999999999,10.9,17.433333333333334,14.34
2015-07-27,14.149999999999999,13.233333333333334,15.35,15.799999999999999,12.425,17.566666666666666,14.679999999999998
2015-07-28,16.9,15.066666666666668,18.525,18.599999999999998,14.425,18.3,16.02
2015-07-29,19.4,17.2,20.075000000000003,20.833333333333332,15.725000000000001,19.066666666666666,17.439999999999998
2015-07-30,17.8,17.86666666666667,20.925,21.8,15.950000000000001,18.599999999999998,17.54
2015-07-31,18.799999999999997,17.733333333333334,20.775000000000002,21.266666666666666,16.3,18.400000000000002,18.5
2015-08-01,14.350000000000001,18.766666666666666,17.9,20.46666666666667,18.375,19.96666666666667,19.24
2015-08-02,18.15,18.8,22.225,22.900000000000002,17.700000000000003,19.833333333333332,18.62
2015-08-03,14.1,18.266666666666666,19.675,22.7,18.35,22.233333333333334,19.56
2015-08-04,13.55,17.766666666666666,16.05,20.166666666666668,17.700000000000003,19.3,19.78
2015-08-05,16.45,16.7,16.6,19.599999999999998,17.474999999999998,20.133333333333336,20.04
2015-08-06,19.15,20.13333333333333,23.125,23.266666666666666,18.849999999999998,20.666666666666668,20.240000000000002
2015-08-07,21.700000000000003,21.933333333333334,25.6,24.73333333333333,19.95,21.166666666666668,20.76
2015-08-08,21.75,22.066666666666663,26.174999999999997,25.2,20.55,21.2,20.839999999999996
2015-08-09,22.15,18.3,24.549999999999997,23.96666666666667,17.025,21.266666666666666,19.7
2015-08-10,19.5,19.400000000000002,21.8,19.566666666666666,18.275,21.26666666666667,20.32
2015-08-11,15.55,19.333333333333332,18.275,20.266666666666666,18.175,21.2,19.92
2015-08-12,17.65,18.53333333333333,21.675,21.899999999999995,17.25,20.666666666666664,19.580000000000002
2015-08-13,18.65,19.3,21.474999999999998,19.133333333333336,18.15,21.033333333333335,18.839999999999996
2015-08-14,17.4,18.3,20.400000000000002,17.933333333333334,16.8,20.566666666666666,19.339999999999996
2015-08-15,14.45,17.533333333333335,16.525,14.733333333333334,17.975,21.333333333333332,19.56
2015-08-16,13.85,16.733333333333334,15.099999999999998,15.733333333333334,18.75,19.766666666666666,19.919999999999998
2015-08-17,17.8,18.4,20.025000000000002,19.833333333333332,17.225,20.53333333333333,20.419999999999998
