index,G1,G2,G3,G4,G5,G6,G7
2007-05-26,13.55,10.466666666666667,14.825,10.675,11.6,11.549999999999999,13.183333333333332
2007-05-27,16.5625,11.283333333333333,15.025,10.375,12.212499999999999,11.366666666666667,14.800000000000002
2007-05-28,15.075000000000001,9.183333333333332,14.725000000000001,8.0,9.275,7.783333333333334,9.833333333333334
2007-05-29,12.312500000000002,2.3166666666666664,11.725000000000001,8.875,5.1000000000000005,2.9166666666666665,5.5
2007-05-30,8.5625,4.666666666666667,12.0,11.225000000000001,8.8375,5.3,7.783333333333334
2007-05-31,11.775,7.283333333333334,13.475000000000001,10.825000000000001,11.625,9.866666666666665,9.716666666666667
2007-06-01,16.45,10.15,16.2,11.575000000000001,12.099999999999998,11.15,12.700000000000001
2007-06-02,16.2,7.25,14.325000000000001,11.7,10.6375,7.133333333333334,10.983333333333334
2007-06-03,12.325,6.016666666666666,14.625,13.55,12.325,7.8500000000000005,12.033333333333337
2007-06-04,11.825,8.433333333333332,14.774999999999999,13.5,13.087499999999999,9.233333333333334,12.783333333333331
2007-06-05,13.049999999999999,10.533333333333333,13.575000000000001,13.525,13.399999999999999,11.616666666666667,14.016666666666666
2007-06-06,15.1375,12.166666666666666,13.850000000000001,12.774999999999999,14.424999999999999,13.383333333333333,14.833333333333334
2007-06-07,19.137500000000003,14.266666666666666,15.4,10.775,14.25,15.949999999999998,17.266666666666666
2007-06-08,20.974999999999998,16.683333333333334,16.05,8.15,12.7625,16.533333333333335,18.099999999999998
2007-06-09,20.9625,17.05,16.85,12.75,15.5125,18.95,20.150000000000002
2007-06-10,20.5,17.466666666666665,18.475,13.15,16.3625,19.366666666666664,20.933333333333334
2007-06-11,20.05,17.433333333333334,19.825,12.55,16.55,19.166666666666668,21.266666666666666
2007-06-12,19.8375,15.700000000000001,20.525000000000002,16.025,18.7375,18.95,21.916666666666668
2007-06-13,19.55,17.03333333333333,20.0,16.325000000000003,18.5375,18.933333333333334,22.8
2007-06-14,20.150000000000002,17.98333333333333,20.325000000000003,14.35,16.6125,19.799999999999997,22.150000000000002
